"","Site","Topography","Treatment","ID.CIRAD","DBH.2015","Family","Genus","Specie","DBH.03_06_2020","DBH.2020","dif","pond","nfix","year_pond"
"1002","Paracou","T","N","PAR_T1-122",15.278874536822,"Fabaceae","Eperua","falcata","15.37",15.37,0.0911254631780469,0.00596414761823165,1,0.00119282952364633
"1004","Paracou","T","N","PAR_T1-124",39.47042588679,"Arecaceae","Oenocarpus","bataua","39.83",39.83,0.359574113209952,0.00910996284259233,0,0.00182199256851847
"1005","Paracou","T","N","PAR_T1-125",27.374650211806,"Fabaceae","Eperua","falcata","29.44",29.44,2.065349788194,0.0754475316474827,1,0.0150895063294965
"1006","Paracou","T","N","PAR_T1-126",12.2549306180759,"Fabaceae","Inga",NA,"12.81",12.81,0.55506938192406,0.0452935556489676,1,0.00905871112979353
"1012","Paracou","T","N","PAR_T1-132",42.653524748628,"Fabaceae","Inga",NA,"42.93",42.93,0.276475251372048,0.0064818852135061,1,0.00129637704270122
"1016","Paracou","T","N","PAR_T1-136",40.7436654315252,"Fabaceae","Inga",NA,"41.03",41.03,0.286334568474793,0.00702770763116572,1,0.00140554152623314
"1087","Paracou","T","NP","PAR_T2-25",49.3380323584876,"Fabaceae","Eperua","falcata","51.36",51.36,2.02196764151245,0.0409819270217534,1,0.00819638540435069
"1114","Paracou","T","NP","PAR_T2-52",32.6267633338385,"Lecythidaceae","Eschweilera",NA,"34.99",34.99,2.36323666616146,0.072432458040067,0,0.0144864916080134
"1115","Paracou","T","NP","PAR_T2-53",18.4619733986599,"Burseraceae",NA,NA,"17.940000000000001",17.94,0,0,1,0
"1122","Paracou","T","NP","PAR_T2-60",11.1408460164327,"Fabaceae","Eperua","falcata","11.86",11.86,0.719153983567326,0.064551110616427,1,0.0129102221232854
"1135","Paracou","T","NP","PAR_T2-73",42.9718346348117,"Fabaceae","Eperua","falcata","43.45",43.45,0.478165365188261,0.0111274133220483,1,0.00222548266440966
"1143","Paracou","T","NP","PAR_T2-81",30.2394391874601,"Sapindaceae","Cupania",NA,"31.02",31.02,0.780560812539886,0.0258126748879514,0,0.00516253497759028
"1146","Paracou","T","NP","PAR_T2-84",50.4521169601308,"Rubiaceae",NA,NA,"52.28",52.28,1.82788303986918,0.0362300563386397,1,0.00724601126772794
"1147","Paracou","T","NP","PAR_T2-85",11.9366207318922,"Lecythidaceae","Gustavia",NA,"12.27",12.27,0.33337926810785,0.0279291162545803,0,0.00558582325091607
"1149","Paracou","T","NP","PAR_T2-87",10.663381187157,"Sapotaceae",NA,NA,"10.81",10.81,0.146618812843013,0.0137497488150945,1,0.0027499497630189
"1150","Paracou","T","NP","PAR_T2-88",10.1859163578813,"Lecythidaceae","Lecythis",NA,"10.54",10.54,0.354083642118697,0.034762080276138,0,0.0069524160552276
"1151","Paracou","T","NP","PAR_T2-89",23.7140865206924,"Lecythidaceae","Lecythis",NA,"24.2",24.2,0.485913479307595,0.0204904995553422,0,0.00409809991106844
"1152","Paracou","T","NP","PAR_T2-90",12.2549306180759,"Lecythidaceae","Eschweilera",NA,"12.41",12.41,0.15506938192406,0.0126536319753074,0,0.00253072639506148
"1153","Paracou","T","NP","PAR_T2-91",32.6267633338385,"Melastomataceae","Mouriri","crassifolia","32.619999999999997",32.62,0,0,0,0
"1154","Paracou","T","NP","PAR_T2-92",16.2338041953733,"Sapotaceae",NA,NA,"16.399999999999999",16.4,0.166195804626675,0.0102376376249531,1,0.00204752752499061
"1155","Paracou","T","NP","PAR_T2-93",39.47042588679,"Malvaceae","Catostemma","fragrans","39.65",39.65,0.179574113209952,0.004549586409962,0,0.000909917281992399
"1156","Paracou","T","NP","PAR_T2-94",24.9873260654276,"Fabaceae","Dipteryx","odorata","25.28",25.28,0.292673934572431,0.0117128953216556,1,0.00234257906433113
"1158","Paracou","T","NP","PAR_T2-96",11.7774657888003,"Myristicaceae","Iryanthera","hostmannii","11.94",11.94,0.162534211199745,0.0138004401043819,0,0.00276008802087638
"1159","Paracou","T","NP","PAR_T2-97",35.014087480217,"Hypericaceae","Vismia",NA,"34.65",34.65,0,0,0,0
"1161","Paracou","T","NP","PAR_T2-99",15.278874536822,"Burseraceae",NA,NA,"15.85",15.85,0.571125463178047,0.0373800741541296,1,0.00747601483082592
"1163","Paracou","T","NP","PAR_T2-101",32.7859182769304,"Myristicaceae","Iryanthera","hostmannii","33.08",33.08,0.29408172306956,0.00896975709466367,0,0.00179395141893273
"1167","Paracou","T","NP","PAR_T2-105",65.7309914969528,"Myristicaceae","Iryanthera","hostmannii","63.48",63.48,0,0,0,0
"1175","Paracou","T","NP","PAR_T2-113",42.3352148624442,"Arecaceae","Oenocarpus","bataua","42.47",42.47,0.134785137555838,0.00318375938314669,0,0.000636751876629338
"1182","Paracou","T","NP","PAR_T2-120",40.7436654315252,"Salicaceae","Laetia","procera","39.58",39.58,0,0,0,0
"1185","Paracou","T","NP","PAR_T2-123",10.5042262440651,"Fabaceae","Parkia",NA,"10.46",10.46,0,0,1,0
"1186","Paracou","T","NP","PAR_T2-124",13.5281701628111,"Fabaceae","Pterocarpus","officinalis","13.73",13.73,0.201829837188896,0.0149192266773614,1,0.00298384533547228
"1191","Paracou","T","NP","PAR_T2-129",36.9239467973197,"Fabaceae","Eperua","falcata","37.67",37.67,0.74605320268028,0.0202051315579957,1,0.00404102631159914
"1192","Paracou","T","NP","PAR_T2-130",12.7323954473516,"Sapotaceae","Pradosia","ptychandra","12.78",12.78,0.0476045526483713,0.00373885282193879,0,0.000747770564387759
"1194","Paracou","T","NP","PAR_T2-132",39.9478907160657,"Fabaceae","Pterocarpus","officinalis","41.69",41.69,1.74210928393427,0.0436095436506651,1,0.00872190873013303
"1265","Paracou","T","P","PAR_T3-28",51.0887367324984,"Fabaceae","Eperua","falcata","51.46",51.46,0.371263267501597,0.0072670277491013,1,0.00145340554982026
"1285","Paracou","T","P","PAR_T3-48",37.2422566835035,"Burseraceae",NA,NA,"37.380000000000003",37.38,0.13774331649649,0.00369857599304672,1,0.000739715198609344
"1286","Paracou","T","P","PAR_T3-49",49.3380323584876,"Annonaceae","Xylopia","nitida","50.12",50.12,0.781967641512445,0.0158491857930351,0,0.00316983715860701
"1290","Paracou","T","P","PAR_T3-53",10.3450713009732,"Euphorbiaceae","Conceveiba","guianensis","10.64",10.64,0.294928699026803,0.0285091025906277,0,0.00570182051812554
"1291","Paracou","T","P","PAR_T3-54",11.9366207318922,"Lecythidaceae","Eschweilera",NA,"11.95",11.95,0.0133792681078493,0.0011208589439474,0,0.00022417178878948
"1292","Paracou","T","P","PAR_T3-55",26.4197205532546,"Fabaceae","Eperua","falcata","26.53",26.53,0.110279446745373,0.00417413373177364,1,0.000834826746354727
"1294","Paracou","T","P","PAR_T3-57",10.1859163578813,"Lecythidaceae","Eschweilera",NA,"10.31",10.31,0.124083642118698,0.0121818830784615,0,0.0024363766156923
"1295","Paracou","T","P","PAR_T3-58",10.8225361302489,"Lecythidaceae","Lecythis",NA,"11.23",11.23,0.407463869751117,0.0376495735239229,0,0.00752991470478458
"1296","Paracou","T","P","PAR_T3-59",12.8915503904435,"Fabaceae","Eperua","falcata","14.89",14.89,1.99844960955648,0.155020113875358,1,0.0310040227750717
"1297","Paracou","T","P","PAR_T3-60",11.1408460164327,"Lauraceae",NA,NA,"11.36",11.36,0.219153983567326,0.0196712155651442,1,0.00393424311302885
"1298","Paracou","T","P","PAR_T3-61",12.5732405042597,"Lecythidaceae","Eschweilera",NA,"12.71",12.71,0.136759495740268,0.0108770285348423,0,0.00217540570696846
"1299","Paracou","T","P","PAR_T3-62",16.2338041953733,"Arecaceae","Oenocarpus","bataua","16.36",16.36,0.126195804626676,0.00777364338684347,0,0.00155472867736869
"1308","Paracou","T","P","PAR_T3-71",14.6422547644544,"Chrysobalanaceae","Licania","alba","14.37",14.37,0,0,0,0
"1309","Paracou","T","P","PAR_T3-72",28.3295798703574,"Malvaceae","Apeiba",NA,"29.57",29.57,1.24042012964263,0.0437853344567436,0,0.00875706689134873
"1315","Paracou","T","P","PAR_T3-78",42.0169049762604,"Myristicaceae","Iryanthera","hostmannii","43.38",43.38,1.36309502373963,0.0324415857024639,0,0.00648831714049278
"1328","Paracou","T","P","PAR_T3-91",17.5070437401085,"Fabaceae","Eperua","falcata","17.37",17.37,0,0,1,0
"1329","Paracou","T","P","PAR_T3-92",13.687325105903,"Sapotaceae","Chrysophyllum","sanguinolentum","13.71",13.71,0.0226748940970012,0.00165663443525734,0,0.000331326887051467
"1330","Paracou","T","P","PAR_T3-93",18.6211283417518,"Euphorbiaceae","Conceveiba","guianensis","18.3",18.3,0,0,0,0
"1332","Paracou","T","P","PAR_T3-95",13.8464800489949,"Lecythidaceae","Lecythis",NA,"14.12",14.12,0.273519951005104,0.0197537533031696,0,0.00395075066063391
"1333","Paracou","T","P","PAR_T3-96",22.9183118052329,"Fabaceae","Recordoxylon","speciosum","23.08",23.08,0.16168819476707,0.00705497840072809,1,0.00141099568014562
"1334","Paracou","T","P","PAR_T3-97",17.5070437401085,"Lauracea",NA,NA,"17.73",17.73,0.222956259891514,0.0127352317844916,1,0.00254704635689832
