"","site","topography","plot","year","season","samplingPoint","tree","canopyPosition","treatment","number","CodiSAQ","Codesamples","tissue","height","family","genus","specie","d13C","d15N","C","N","CN","CP","NP","P","K","Na","Mg","Ca","Fe","Mn","Ni","Cu","Sr","Nfix","sp"
"412","Nouragues","Bottom","4","2019","Dry",NA,"305","Down","C",NA,NA,"1192-19DNB4-305D-E","leaf",NA,"Sapotaceae","Pradosia","ptychandra",-33.749,1.992,48.653,1.437,33.851,1181.58,34.905,0.041,1.067,1373.31,0.281,0.721,49.002,283.529,2.065,3.463,47.927,0,"Pradosia_ptychandra"
"413","Nouragues","Bottom","4","2019","Wet",NA,"305","Top","C",NA,NA,"711-19WNB4-305T-E","leaf",NA,"Sapotaceae","Pradosia","ptychandra",NA,NA,NA,NA,NA,0,0,0.045,0.836,868.149,0.244,0.752,62.13,350.501,2.125,3.284,45.805,0,"Pradosia_ptychandra"
"414","Nouragues","Bottom","4","2019","Wet",NA,"305","Down","C",NA,NA,"712-19WNB4-305D-E","leaf",NA,"Sapotaceae","Pradosia","ptychandra",NA,NA,NA,NA,NA,0,0,0.057,1.283,1270.39,0.191,0.349,57.882,107.856,1.921,3.897,21.859,0,"Pradosia_ptychandra"
"415","Paracou","Top","4","2019","Wet",NA,"786","Top","C",NA,NA,"511-19WPT4-786T-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.173,-0.599,51.528,1.534,33.582,871.783,25.96,0.059,0.358,2472.702,0.294,0.403,195.088,158.033,1.164,13.775,51.131,1,"Eperua_falcata"
"416","Paracou","Top","4","2019","Wet",NA,"786","Down","C",NA,NA,"512-19WPT4-786D-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.967,-1.256,53.236,1.466,36.317,993.644,27.36,0.054,0.268,1420.025,0.352,0.475,183.22,189.743,1.48,20.048,62.244,1,"Eperua_falcata"
"417","Paracou","Top","4","2019","Dry",NA,"786","Top","C",NA,NA,"991-19DPT4-786T-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.709,-0.24,49.142,1.749,28.097,684.275,24.354,0.072,1.044,247.075,0.305,0.308,36.238,85.607,0.467,11.688,36.613,1,"Eperua_falcata"
"418","Paracou","Top","4","2019","Dry",NA,"786","Down","C",NA,NA,"992-19DPT4-786D-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.152,-0.04,49.545,1.55,31.97,762.12,23.838,0.065,0.995,593.961,0.256,0.321,39.555,98.451,0.573,9.199,41.46,1,"Eperua_falcata"
"419","Paracou","Top","4","2019","Wet",NA,"806","Top","C",NA,NA,"513-19WPT4-806T-E","leaf",NA,"Dichapetalaceae","Tapura","capitulifera",-33.034,3.218,38.585,0.945,40.81,1295.928,31.755,0.03,0.584,7720.439,0.993,1.547,154.734,32.236,5.281,6.979,77.868,0,"Tapura_capitulifera"
"420","Paracou","Top","4","2019","Wet",NA,"806","Down","C",NA,NA,"514-19WPT4-806D-E","leaf",NA,"Dichapetalaceae","Tapura","capitulifera",-33.31,1.597,55.611,1.333,41.723,2193.901,52.583,0.025,0.812,7081.229,0.999,1.298,238.348,83.277,1.076,6.379,100.396,0,"Tapura_capitulifera"
"421","Paracou","Top","4","2019","Wet",NA,"807","Top","C",NA,NA,"515-19WPT4-807T-E","leaf",NA,"Malvaceae","Lueheopsis","rugosa",-30.826,-0.185,51.272,1.42,36.104,1050.336,29.092,0.049,0.296,3976.18,0.274,0.51,118.78,170.95,1.158,7.199,79.556,0,"Lueheopsis_rugosa"
"422","Paracou","Top","4","2019","Wet",NA,"807","Down","C",NA,NA,"516-19WPT4-807D-E","leaf",NA,"Malvaceae","Lueheopsis","rugosa",-31.711,-0.455,51.302,1.417,36.204,993.484,27.441,0.052,0.545,4000.52,0.295,0.498,223.837,117.772,1.614,7.75,61.059,0,"Lueheopsis_rugosa"
"423","Paracou","Top","4","2019","Dry",NA,"807","Top","C",NA,NA,"993-19DPT4-806T-E","leaf",NA,"Malvaceae","Lueheopsis","rugosa",-33.613,2.033,36.434,0.947,38.492,1250.308,32.483,0.029,0.368,4863.84,0.737,1.187,191.998,32.239,3.187,6.392,65.609,0,"Lueheopsis_rugosa"
