"","site","topography","plot","year","season","samplingPoint","tree","canopyPosition","treatment","number","CodiSAQ","Codesamples","tissue","height","family","genus","specie","d13C","d15N","C","N","CN","CP","NP","P","K","Na","Mg","Ca","Fe","Mn","Ni","Cu","Sr","Nfix","sp"
"1","Nouragues","Bottom","3","2019","Dry",NA,"32","Top","P",NA,NA,"1175-19DNB3-32T-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.521,1.353,50.005,1.791,27.922,591.58,21.187,0.085,0.623,295.605,0.19,0.52,43.224,132.927,0.218,6.415,39.586,1,"Eperua_falcata"
"2","Nouragues","Bottom","3","2019","Dry",NA,"32","Down","P",NA,NA,"1176-19DNB3-32D-E","leaf",NA,"Fabaceae","Eperua","falcata",-31.68,0.809,49.52,2.013,24.602,484.013,19.674,0.102,0.894,229.083,0.155,0.575,36.412,207.809,NA,6.194,41.146,1,"Eperua_falcata"
"3","Nouragues","Bottom","3","2019","Wet",NA,"32","Top","P",NA,NA,"695-19WNB3-32T-E","leaf",NA,"Fabaceae","Eperua","falcata",-29.818,1.292,50.638,1.825,27.754,492.429,17.743,0.103,1.045,NA,0.195,0.393,45.311,101.668,0.265,7.004,27.507,1,"Eperua_falcata"
"4","Nouragues","Bottom","3","2019","Wet",NA,"32","Down","P",NA,NA,"696-19WNB3-32D-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.455,1.184,51.084,1.958,26.084,345.381,13.241,0.148,1.142,262.002,0.172,0.369,115.268,109.541,0.446,8.937,28.039,1,"Eperua_falcata"
"5","Nouragues","Bottom","3","2019","Dry",NA,"33","Top","P",NA,NA,"1177-19DNB3-33T-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.807,3.897,50.127,2.161,23.191,707.061,30.489,0.071,0.615,359.649,0.06,0.657,123.068,340.162,0.703,3.542,61.369,1,"Dicorynia_guianensis"
"6","Nouragues","Bottom","3","2019","Dry",NA,"33","Down","P",NA,NA,"1178-19DNB3-33D-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.414,3.818,50.547,2.012,25.127,778.826,30.995,0.065,0.536,344.191,0.058,0.652,146.001,301.996,0.829,3.836,60.994,1,"Dicorynia_guianensis"
"7","Nouragues","Bottom","3","2019","Wet",NA,"33","Top","P",NA,NA,"697-19WNB3-33T-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.349,3.907,51.068,2.121,24.082,696.852,28.936,0.073,0.576,468.39,0.078,0.43,135.52,230.316,0.748,4.201,35.868,1,"Dicorynia_guianensis"
"8","Nouragues","Bottom","3","2019","Wet",NA,"33","Down","P",NA,NA,"698-19WNB3-33D-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.396,3.711,51.414,2.24,22.951,680.563,29.653,0.076,0.577,449.971,0.068,0.469,110.651,235.654,0.81,4.22,41.222,1,"Dicorynia_guianensis"
"9","Paracou","Bottom","1","2019","Dry",NA,"37","Top","N",NA,NA,"1041-19DPB1-37T-E","leaf",NA,"Putranjivaceae","Drypetes","variabilis",-32.59,3.406,44.577,1.435,31.056,764.674,24.623,0.058,1.527,5095.567,0.318,0.482,81.331,265.858,1.412,5.632,67.879,0,"Drypetes_variabilis"
"10","Paracou","Bottom","1","2019","Dry",NA,"37","Down","N",NA,NA,"1042-19DPB1-37D-E","leaf",NA,"Putranjivaceae","Drypetes","variabilis",-32.31,3.326,44.543,1.699,26.21,679.032,25.907,0.066,1.747,5433.166,0.432,0.585,132.153,334.552,1.301,5.671,80.94,0,"Drypetes_variabilis"
"11","Paracou","Bottom","1","2019","Wet",NA,"37","Top","N",NA,NA,"561-19WPB1-37T-E","leaf",NA,"Putranjivaceae","Drypetes","variabilis",-31.558,3.506,49.619,2.117,23.437,909.853,38.822,0.055,1.194,7019.449,0.364,0.594,202.581,289.56,2.1,5.607,89.149,0,"Drypetes_variabilis"
"12","Paracou","Bottom","1","2019","Wet",NA,"37","Down","N",NA,NA,"562-19WPB1-37D-E","leaf",NA,"Putranjivaceae","Drypetes","variabilis",-34.174,3.32,49.665,1.642,30.239,764.733,25.289,0.065,2.565,4330.856,0.409,0.465,132.272,385.471,0.995,5.564,64.451,0,"Drypetes_variabilis"
"13","Nouragues","Bottom","2","2019","Dry",NA,"37","Top","NP",NA,NA,"1167-19DNB2-37T-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-33.841,2.84,45.172,1.869,24.175,755.094,31.234,0.06,1.64,864.182,0.483,0.671,78.976,999.355,2.449,4.442,89.019,0,"Oxandra_asbeckii"
"14","Nouragues","Bottom","2","2019","Dry",NA,"37","Down","NP",NA,NA,"1168-19DNB2-37D-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-34.447,3.163,46.707,2.264,20.627,736.82,35.722,0.063,2.12,626.959,0.39,0.499,49.79,505.136,1.434,5.667,64.703,0,"Oxandra_asbeckii"
"15","Nouragues","Bottom","2","2019","Wet",NA,"37","Top","NP",NA,NA,"687-19WNB2-37T-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-34.491,3.755,47.481,1.93,24.606,808.022,32.838,0.059,2.186,564.818,0.316,0.475,111.428,761.974,2.057,4.98,45.73,0,"Oxandra_asbeckii"
"16","Nouragues","Bottom","2","2019","Wet",NA,"37","Down","NP",NA,NA,"688-19WNB2-37D-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-34.801,3.21,46.671,2.179,21.416,641.704,29.963,0.073,2.221,617.434,0.468,0.537,110.642,688.793,1.686,6.29,70.577,0,"Oxandra_asbeckii"
"17","Nouragues","Bottom","2","2019","Dry",NA,"38","Top","NP",NA,NA,"1169-19DNB2-38T-E","leaf",NA,"Fabaceae","Paloue","guianensis",-31.871,4.072,47.137,2.598,18.146,388.791,21.426,0.121,0.953,233.515,0.144,0.325,43.215,408.189,0.57,5.603,37.298,1,"Paloue_guianensis"
"18","Nouragues","Bottom","2","2019","Dry",NA,"38","Down","NP",NA,NA,"1170-19DNB2-38D-E","leaf",NA,"Fabaceae","Paloue","guianensis",-33.832,2.465,47.788,2.336,20.456,414.429,20.259,0.115,0.88,308.819,0.143,0.3,63.832,234.703,0.518,4.962,34.018,1,"Paloue_guianensis"
"19","Nouragues","Bottom","2","2019","Wet",NA,"38","Top","NP",NA,NA,"689-19WNB2-38T-E","leaf",NA,"Fabaceae","Paloue","guianensis",-32.429,3.213,48.167,2.827,17.04,301.093,17.67,0.16,1.017,253.45,0.125,0.165,59.295,191.847,0.893,7.175,18.049,1,"Paloue_guianensis"
"20","Nouragues","Bottom","2","2019","Wet",NA,"38","Down","NP",NA,NA,"690-19WNB2-38D-E","leaf",NA,"Fabaceae","Paloue","guianensis",-34.505,2.115,49.222,3.415,14.415,275.678,19.125,0.179,1.306,NA,0.141,0.187,64.276,184.858,0.838,11.394,23.02,1,"Paloue_guianensis"
"21","Paracou","Slope","2","2019","Dry",NA,"38","Top","NP",NA,NA,"1011-19DPS2-38T-E","leaf",NA,"Burseraceae","Thyrsodium","guianense",-34.754,1.389,49.175,1.34,36.705,898.478,24.478,0.055,0.378,2110.706,0.409,0.275,72.112,126.438,0.752,4.293,25.924,0,"Thyrsodium_guianense"
"22","Paracou","Slope","2","2019","Dry",NA,"38","Down","NP",NA,NA,"1012-19DPS2-38D-E","leaf",NA,"Burseraceae","Thyrsodium","guianense",-35.467,1.472,50.312,1.324,37.997,1122.603,29.544,0.045,0.277,2482.505,0.385,0.312,89.247,166.809,1.287,3.747,32.804,0,"Thyrsodium_guianense"
"23","Paracou","Slope","2","2019","Wet",NA,"38","Top","NP",NA,NA,"531-19WPS2-38T-E","leaf",NA,"Burseraceae","Thyrsodium","guianense",-34.467,1.437,51.882,1.343,38.624,977.552,25.309,0.053,0.283,3148.459,0.431,0.326,118.918,192.718,2.014,3.591,35.793,0,"Thyrsodium_guianense"
"24","Paracou","Slope","2","2019","Wet",NA,"38","Down","NP",NA,NA,"532-19WPS2-38D-E","leaf",NA,"Burseraceae","Thyrsodium","guianense",-34.625,2.273,52.309,1.28,40.852,1017.93,24.918,0.051,0.375,3207.426,0.336,0.19,99.69,104.386,1.15,4.64,21.144,0,"Thyrsodium_guianense"
"25","Nouragues","Bottom","3","2019","Dry",NA,"39","Top","P",NA,NA,"1179-19DNB3-39T-E","leaf",NA,"Moraceae","Brosimum","guianense",-33.472,2.747,42.859,1.682,25.478,662.814,26.015,0.065,1.103,1669.42,0.238,1.868,82.531,402.858,0.763,4.163,83.619,0,"Brosimum_guianense"
"26","Nouragues","Bottom","3","2019","Dry",NA,"39","Down","P",NA,NA,"1180-19DNB3-39D-E","leaf",NA,"Moraceae","Brosimum","guianense",-33.777,2.407,42.257,1.588,26.602,700.5,26.332,0.06,0.989,1341.49,0.252,2.298,91.922,294.198,2.654,3.983,106.729,0,"Brosimum_guianense"
"27","Nouragues","Bottom","3","2019","Wet",NA,"39","Top","P",NA,NA,"699-19WNB3-39T-E","leaf",NA,"Moraceae","Brosimum","guianense",-33.217,3.21,46.126,1.754,26.298,739.428,28.117,0.062,0.841,1355.259,0.187,1.964,108.162,342.29,0.583,3.931,80.149,0,"Brosimum_guianense"
"28","Nouragues","Bottom","3","2019","Wet",NA,"39","Down","P",NA,NA,"700-19WNB3-39D-E","leaf",NA,"Moraceae","Brosimum","guianense",-34.255,2.266,45.511,1.85,24.605,708.033,28.776,0.064,0.76,1353.769,0.275,2.234,89.393,305.468,0.482,4.284,99.701,0,"Brosimum_guianense"
"29","Paracou","Bottom","2","2019","Dry",NA,"42","Top","NP",NA,NA,"1051-19DPB2-42T-E","leaf",NA,"Elaeocarpaceae","Sloanea",NA,-30.302,0.297,51.98,1.201,43.264,970.715,22.437,0.054,0.431,317.883,0.174,0.666,51.373,60.901,0.423,4.287,72.49,0,"Sloanea_NA"
"30","Paracou","Bottom","2","2019","Dry",NA,"42","Down","NP",NA,NA,"1052-19DPB2-42D-E","leaf",NA,"Elaeocarpaceae","Sloanea",NA,-31.235,0.702,50.078,1.536,32.613,527.33,16.169,0.095,0.695,NA,0.167,0.578,48.394,54.693,0.471,7.586,60.267,0,"Sloanea_NA"
"31","Paracou","Bottom","2","2019","Wet",NA,"42","Top","NP",NA,NA,"571-19WPB2-42T-E","leaf",NA,"Elaeocarpaceae","Sloanea",NA,-28.449,0.425,51.369,1.328,38.668,792.876,20.505,0.065,0.328,394.207,0.155,0.423,112.792,73.649,0.516,5.075,43.247,0,"Sloanea_NA"
"32","Paracou","Bottom","2","2019","Wet",NA,"42","Down","NP",NA,NA,"572-19WPB2-42D-E","leaf",NA,"Elaeocarpaceae","Sloanea",NA,-31.802,0.557,51.062,1.309,39.018,1037.93,26.601,0.049,0.572,475.622,0.171,0.56,242.872,40.176,0.892,5.432,59.98,0,"Sloanea_NA"
"33","Paracou","Bottom","2","2019","Dry",NA,"44","Top","NP",NA,NA,"1053-19DPB2-44T-E","leaf",NA,"Lecythidaceae","Gustavia","hexapetala",-34.597,3.304,45.87,2.154,21.295,342.537,16.086,0.134,1.648,2240.343,0.8,1.694,198.545,38.813,1.335,12.519,675.794,0,"Gustavia_hexapetala"
"34","Paracou","Bottom","2","2019","Dry",NA,"44","Down","NP",NA,NA,"1054-19DPB2-44D-E","leaf",NA,"Lecythidaceae","Gustavia","hexapetala",-35.286,3.806,44.838,2.097,21.386,691.052,32.314,0.065,1.114,1781.266,0.58,1.858,89.67,27.598,0.398,3.685,638.886,0,"Gustavia_hexapetala"
"35","Paracou","Bottom","2","2019","Wet",NA,"44","Top","NP",NA,NA,"573-19WPB2-44T-E","leaf",NA,"Lecythidaceae","Gustavia","hexapetala",-34.1,3.458,48.106,2.188,21.983,713.803,32.471,0.067,0.78,597.661,0.561,1.429,198.201,23.414,0.923,4.806,676.273,0,"Gustavia_hexapetala"
"36","Paracou","Bottom","2","2019","Wet",NA,"44","Down","NP",NA,NA,"574-19WPB2-44D-E","leaf",NA,"Lecythidaceae","Gustavia","hexapetala",-35.485,3.346,47.269,2.137,22.118,770.311,34.828,0.061,0.621,1262.95,0.666,1.96,227.626,31.097,1.758,4.232,783.037,0,"Gustavia_hexapetala"
"37","Paracou","Bottom","3","2019","Dry",NA,"47","Top","P",NA,NA,"1068B-19DPB3-47T-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.223,0.04,50.549,1.42,35.591,538.368,15.127,0.094,0.358,1435.509,0.156,0.904,136.034,274.163,0.48,3.03,123.729,1,"Eperua_falcata"
"38","Paracou","Bottom","3","2019","Dry",NA,"47","Down","P",NA,NA,"1068C-19DPB3-47D-E","leaf",NA,"Fabaceae","Eperua","falcata",-31.278,-0.294,51.623,1.559,33.108,595.051,17.973,0.087,0.284,992.216,0.248,1.045,100.726,421.147,0.342,2.757,152.897,1,"Eperua_falcata"
"39","Paracou","Slope","3","2019","Dry",NA,"49","Top","P",NA,NA,"1021-19DPS3-49T-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-29.695,0.624,49.401,1.176,42.006,828.22,19.717,0.06,0.441,1274.099,0.202,0.505,79.358,124.822,0.573,3.184,63.609,1,"Eperua_grandiflora"
"40","Paracou","Slope","3","2019","Dry",NA,"49","Down","P",NA,NA,"1022-19DPS3-49D-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-29.989,0.327,49.58,1.135,43.674,922.749,21.128,0.054,0.397,1093.246,0.269,0.597,67.474,146.937,0.585,3.058,82.468,1,"Eperua_grandiflora"
"41","Paracou","Slope","3","2019","Wet",NA,"49","Top","P",NA,NA,"541-19WPS3-49T-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-29.791,-0.26,53.753,1.097,48.98,1179.144,24.074,0.046,0.289,1071.266,0.248,0.567,151.16,133.62,0.931,3.717,80.802,1,"Eperua_grandiflora"
"42","Paracou","Slope","3","2019","Wet",NA,"49","Down","P",NA,NA,"542-19WPS3-49D-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-30.131,0.003,53.449,1.236,43.239,1113.146,25.744,0.048,0.327,1482.051,0.235,0.623,142.539,133.174,0.837,3.148,82.102,1,"Eperua_grandiflora"
"43","Nouragues","Bottom","1","2019","Dry",NA,"50","Top","N",NA,NA,"1157-19DNB1-50T-E","leaf",NA,"Lecythidaceae","Eschweilera","coriacea",-34.347,3.459,49.352,1.956,25.226,984.357,39.021,0.05,0.467,2146.236,0.114,0.675,63.173,566.278,0.218,5.316,190.191,0,"Eschweilera_coriacea"
"44","Nouragues","Bottom","1","2019","Dry",NA,"50","Down","N",NA,NA,"1158-19DNB1-50D-E","leaf",NA,"Lecythidaceae","Eschweilera","coriacea",-34.288,3.073,48.37,1.964,24.628,800.335,32.496,0.06,0.646,1796.069,0.075,0.344,54.866,276.476,0.472,5.064,65.512,0,"Eschweilera_coriacea"
"45","Nouragues","Bottom","1","2019","Wet",NA,"50","Top","N",NA,NA,"677-19WNB1-50T-E","leaf",NA,"Lecythidaceae","Eschweilera","coriacea",-33.714,3.325,49.697,2.097,23.698,922.754,38.938,0.054,0.591,2046.971,0.076,0.491,105.947,389.933,0.485,7.6,107.881,0,"Eschweilera_coriacea"
"46","Nouragues","Bottom","1","2019","Wet",NA,"50","Down","N",NA,NA,"678-19WNB1-50D-E","leaf",NA,"Lecythidaceae","Eschweilera","coriacea",-34.142,3.361,49.192,1.909,25.765,915.785,35.544,0.054,0.467,2192.661,0.112,0.622,113.853,542.824,0.381,4.853,131.887,0,"Eschweilera_coriacea"
"47","Nouragues","Top","1","2019","Dry",NA,"50","Top","N",NA,NA,"1079-19DNT1-50T-E","leaf",NA,"Sapotaceae","Chrysophyllum","argenteum",-32.896,1.762,49.625,1.169,42.437,1395.939,32.894,0.036,0.349,2340.146,0.161,0.466,64.841,39.824,1.267,3.259,11.143,0,"Chrysophyllum_argenteum"
"48","Nouragues","Top","1","2019","Dry",NA,"50","Down","N",NA,NA,"1080-19DNT1-50D-E","leaf",NA,"Sapotaceae","Chrysophyllum","argenteum",-33.325,1.687,47.988,1.185,40.492,1100.076,27.168,0.044,0.39,1904.841,0.205,0.553,57.568,38.485,0.699,3.709,19.739,0,"Chrysophyllum_argenteum"
"49","Nouragues","Top","1","2019","Wet",NA,"50","Top","N",NA,NA,"599-19WNT1-50T-E","leaf",NA,"Sapotaceae","Chrysophyllum","argenteum",-33.832,1.165,47.029,1.117,42.105,1293.201,30.713,0.036,0.353,3401.326,0.183,0.436,412.725,38.626,1.898,3.889,14.501,0,"Chrysophyllum_argenteum"
"50","Nouragues","Top","1","2019","Wet",NA,"50","Down","N",NA,NA,"600-19WNT1-50D-E","leaf",NA,"Sapotaceae","Chrysophyllum","argenteum",-33.682,0.823,47.025,1.238,37.99,1240.633,32.656,0.038,0.328,2620.575,0.179,0.503,300.218,34.425,2.382,4.233,25.63,0,"Chrysophyllum_argenteum"
"51","Paracou","Top","1","2019","Wet",NA,"50","Top","N",NA,NA,"481-19WPT1-50T-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-30.747,1.165,49.538,2.204,22.481,933.929,41.543,0.053,1.382,330.646,0.387,0.308,193.934,207.28,2.897,6.661,30.508,0,"Oxandra_asbeckii"
"52","Paracou","Top","1","2019","Wet",NA,"50","Down","N",NA,NA,"482-19WPT1-50D-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-33.337,0.866,48.888,2.085,23.442,895.85,38.215,0.055,1.807,493.31,0.48,0.426,212.361,132.258,5.155,7.031,56.993,0,"Oxandra_asbeckii"
"53","Paracou","Top","1","2019","Dry",NA,"50","Top","N",NA,NA,"961-19DPT1-50T-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",NA,NA,NA,NA,NA,0,0,0.043,1.056,587.982,0.421,0.351,117.412,240.467,2.147,5.269,31.973,0,"Oxandra_asbeckii"
"54","Paracou","Top","1","2019","Dry",NA,"50","Down","N",NA,NA,"962-19DPT1-50D-E","leaf",NA,"Annonaceae","Oxandra","asbeckii",-33.648,-0.429,46.419,2.091,22.198,1141.935,51.442,0.041,1.011,1081.43,0.685,0.732,227.918,351.669,4.56,5.163,93.545,0,"Oxandra_asbeckii"
"55","Nouragues","Bottom","1","2019","Dry",NA,"51","Top","N",NA,NA,"1159-19DNB1-51T-E","leaf",NA,"Myristicaceae","Osteophleum","platyspermum",-35.963,5.278,49.106,2.282,21.517,720.34,33.478,0.068,0.879,2179.148,0.239,0.446,72.01,355.307,1.552,3.588,47.377,0,"Osteophleum_platyspermum"
"56","Nouragues","Bottom","1","2019","Dry",NA,"51","Down","N",NA,NA,"1160-19DNB1-51D-E","leaf",NA,"Myristicaceae","Osteophleum","platyspermum",-36.121,5.022,49.047,2.55,19.231,627.821,32.646,0.078,0.948,1724.295,0.219,0.334,71.663,288.984,1.763,3.877,34.989,0,"Osteophleum_platyspermum"
"57","Nouragues","Bottom","1","2019","Wet",NA,"51","Top","N",NA,NA,"679-19WNB1-51T-E","leaf",NA,"Myristicaceae","Osteophleum","platyspermum",-35.395,5.248,50.158,2.548,19.686,682.037,34.647,0.074,0.809,2095.729,0.227,0.373,146.947,335.693,2.037,4.452,38.832,0,"Osteophleum_platyspermum"
"58","Nouragues","Bottom","1","2019","Wet",NA,"51","Down","N",NA,NA,"680-19WNB1-51D-E","leaf",NA,"Myristicaceae","Osteophleum","platyspermum",-35.241,5.079,49.833,2.176,22.903,736.984,32.179,0.068,1.055,1423.969,0.179,0.236,76.973,187.494,0.894,3.658,24.351,0,"Osteophleum_platyspermum"
"59","Nouragues","Top","1","2019","Dry",NA,"51","Top","N",NA,NA,"1081-19DNT1-51T-E","leaf",NA,"Fabaceae","Hymanea","courbaril",-28.884,2.009,51.049,1.321,38.644,868.52,22.475,0.059,0.401,NA,0.119,0.278,199.471,237.613,1.079,4.401,21.793,0,"Hymanea_courbaril"
"60","Nouragues","Top","1","2019","Dry",NA,"51","Down","N",NA,NA,"1082-19DNT1-51D-E","leaf",NA,"Fabaceae","Hymanea","courbaril",-30.984,1.858,51.309,1.427,35.965,800.77,22.266,0.064,0.598,NA,0.148,0.225,36.55,258.911,0.778,6.927,15.59,0,"Hymanea_courbaril"
"61","Nouragues","Top","1","2019","Wet",NA,"51","Top","N",NA,NA,"601-19WNT1-51T-E","leaf",NA,"Fabaceae","Hymanea","courbaril",-28.98,2.085,49.757,1.388,35.846,735.699,20.524,0.068,0.397,NA,0.139,0.177,177.051,154.405,0.959,6.229,13.094,0,"Hymanea_courbaril"
"62","Nouragues","Top","1","2019","Wet",NA,"51","Down","N",NA,NA,"602-19WNT1-51D-E","leaf",NA,"Fabaceae","Hymanea","courbaril",-30.589,1.939,49.034,1.386,35.376,659.159,18.633,0.074,0.621,NA,0.144,0.137,120.9,127.314,1.012,8.316,9.893,0,"Hymanea_courbaril"
"63","Paracou","Top","1","2019","Wet",NA,"51","Top","N",NA,NA,"483-19WPT1-51T-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-34.291,-3.68,47.872,1.158,41.347,2105.129,50.914,0.023,0.134,4287.748,0.155,0.448,211.029,15.964,2.746,3.963,19.319,1,"Eperua_grandiflora"
"64","Paracou","Top","1","2019","Wet",NA,"51","Down","N",NA,NA,"484-19WPT1-51D-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-30.026,-0.203,53.589,1.359,39.439,1247.661,31.635,0.043,0.475,2631.262,0.093,0.275,72.611,63.387,1.566,2.408,40.48,1,"Eperua_grandiflora"
"65","Paracou","Top","1","2019","Dry",NA,"51","Top","N",NA,NA,"963-19DPT1-51T-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-30.847,-0.538,53.82,1.436,37.492,1270.619,33.891,0.042,0.508,1606.844,0.171,0.359,155.53,66.067,1.485,2.873,52.519,1,"Eperua_grandiflora"
"66","Paracou","Top","1","2019","Dry",NA,"51","Down","N",NA,NA,"964-19DPT1-51D-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-31.068,-0.134,53.229,1.155,46.095,1195.551,25.937,0.045,0.57,1901.394,0.105,0.28,71.222,58.882,1.263,3.494,41.832,1,"Eperua_grandiflora"
"67","Nouragues","Top","1","2019","Dry",NA,"54","Top","N",NA,NA,"1083-19DNT1-54T-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-29.939,4.346,51.517,2.054,25.086,799.97,31.889,0.064,0.459,767.88,0.092,0.193,107.926,100.805,2.752,6.085,16.734,1,"Dicorynia_guianensis"
"68","Nouragues","Top","1","2019","Dry",NA,"54","Down","N",NA,NA,"1084-19DNT1-54D-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-31.649,3.877,51.216,2.72,18.833,704.691,37.419,0.073,0.383,588.205,0.072,0.192,127.594,108.519,4.819,7.077,18.177,1,"Dicorynia_guianensis"
"69","Nouragues","Top","1","2019","Wet",NA,"54","Top","N",NA,NA,"603-19WNT1-54T-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.134,4.372,50.462,2.226,22.674,734.119,32.377,0.069,0.467,692.239,0.066,0.111,443.52,55.962,3.352,7.379,9.718,1,"Dicorynia_guianensis"
"70","Nouragues","Top","1","2019","Wet",NA,"54","Down","N",NA,NA,"604-19WNT1-54D-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-32.529,3.974,49.61,2.503,19.819,684.046,34.514,0.073,0.462,368.734,0.092,0.142,314.386,99.44,1.988,9.089,10.964,1,"Dicorynia_guianensis"
"71","Paracou","Top","1","2019","Wet",NA,"54","Top","N",NA,NA,"485-19WPT1-54T-E","leaf",NA,"Lecythidaceae","Lecythis","idatimon",-32.315,0.444,51.553,1.954,26.381,1113.046,42.191,0.046,0.18,5095.702,0.362,0.481,107.78,169.692,2.868,5.95,155.802,0,"Lecythis_idatimon"
"72","Paracou","Top","1","2019","Wet",NA,"54","Down","N",NA,NA,"486-19WPT1-54D-E","leaf",NA,"Lecythidaceae","Lecythis","idatimon",-32.136,0.772,51.936,2.348,22.117,1290.175,58.333,0.04,0.195,10426.348,0.23,0.26,131.88,70.663,2.042,6.71,53.249,0,"Lecythis_idatimon"
"73","Paracou","Top","1","2019","Dry",NA,"54","Top","N",NA,NA,"965-19DPT1-54T-E","leaf",NA,"Lecythidaceae","Lecythis","idatimon",-31.072,0.588,51.062,2.162,23.618,981.713,41.565,0.052,0.2,6064.025,0.167,0.151,50.883,64.277,1.779,7.5,47.855,0,"Lecythis_idatimon"
"74","Paracou","Top","1","2019","Dry",NA,"54","Down","N",NA,NA,"966-19DPT1-54D-E","leaf",NA,"Lecythidaceae","Lecythis","idatimon",-32.747,0.721,50.367,2.275,22.139,748.873,33.826,0.067,0.449,7721.7,0.197,0.181,70.498,58.893,2.273,8.036,37.564,0,"Lecythis_idatimon"
"75","Nouragues","Bottom","3","2019","Dry",NA,"54","Top","P",NA,NA,"1181-19DNB3-54T-E","leaf",NA,"Fabaceae","Alexa","wachenheimii",-28.365,1.37,50.822,2.681,18.956,306.95,16.193,0.166,0.674,2552.935,0.157,0.561,92.433,451.211,1.003,5.101,35.969,1,"Alexa_wachenheimii"
"76","Nouragues","Bottom","3","2019","Dry",NA,"54","Down","P",NA,NA,"1182-19DNB3-54D-E","leaf",NA,"Fabaceae","Alexa","wachenheimii",-29.828,2.272,49.537,2.423,20.443,300.822,14.715,0.165,1.456,959.064,0.168,0.439,56.205,525.386,0.583,4.123,23.326,1,"Alexa_wachenheimii"
"77","Nouragues","Bottom","3","2019","Wet",NA,"54","Top","P",NA,NA,"701-19WNB3-54T-E","leaf",NA,"Fabaceae","Alexa","wachenheimii",-29.135,0.77,51.154,2.442,20.948,444.517,21.22,0.115,0.54,3226.089,0.264,1.171,150.459,779.683,1.011,4.368,87.329,1,"Alexa_wachenheimii"
"78","Nouragues","Bottom","3","2019","Wet",NA,"54","Down","P",NA,NA,"702-19WNB3-54D-E","leaf",NA,"Fabaceae","Alexa","wachenheimii",-29.191,2.333,49.595,2.12,23.398,440.718,18.835,0.113,1.399,821.939,0.21,0.867,73.612,788.663,0.687,3.726,45.761,1,"Alexa_wachenheimii"
"79","Paracou","Bottom","3","2019","Dry",NA,"55","Top","P",NA,NA,"1061-19DPB3-55T-E","leaf",NA,"Fabaceae","Dipteryx","odorata",-31.813,1.49,49.059,1.439,34.091,611.758,17.945,0.08,0.964,528.641,0.125,0.418,95.913,163.805,0.466,8.536,16.21,1,"Dipteryx_odorata"
"80","Paracou","Bottom","3","2019","Dry",NA,"55","Down","P",NA,NA,"1062-19DPB3-55D-E","leaf",NA,"Fabaceae","Dipteryx","odorata",-31.52,1.302,48.393,1.326,36.5,691.53,18.946,0.07,0.88,618.566,0.13,0.548,96.332,213.787,0.357,7.125,20.932,1,"Dipteryx_odorata"
"81","Paracou","Bottom","3","2019","Wet",NA,"55","Top","P",NA,NA,"581-19WPB3-55T-E","leaf",NA,"Fabaceae","Dipteryx","odorata",-31.296,0.904,49.168,1.355,36.286,719.729,19.835,0.068,1.084,945.075,0.095,0.4,210.271,189.181,0.881,7.526,13.306,1,"Dipteryx_odorata"
"82","Paracou","Bottom","3","2019","Wet",NA,"55","Down","P",NA,NA,"582-19WPB3-55D-E","leaf",NA,"Fabaceae","Dipteryx","odorata",-31.315,1.077,48.986,1.428,34.315,563.596,16.424,0.087,1.39,528.36,0.09,0.3,206.349,150.204,1.044,10.416,9.273,1,"Dipteryx_odorata"
"83","Paracou","Slope","2","2019","Dry",NA,"56","Top","NP",NA,NA,"1013-19DPS2-56T-E","leaf",NA,"Fabaceae","Vouacapoua","americana",-34.817,1.982,50.118,2.79,17.964,374.231,20.833,0.134,0.541,1549.697,0.257,0.314,86.755,168.049,0.948,9.832,47.542,1,"Vouacapoua_americana"
